day_of_week,month,hour,building,room,reserved,building_code,room_code
0,8,7,Kathleen W Rollins Hall,Tars Plaza,1,200,6
0,8,8,Kathleen W Rollins Hall,Tars Plaza,1,200,6
0,8,9,Kathleen W Rollins Hall,Tars Plaza,1,200,6
0,8,10,Kathleen W Rollins Hall,Tars Plaza,1,200,6
0,8,11,Kathleen W Rollins Hall,Tars Plaza,1,200,6
0,8,8,Kathleen W Rollins Hall,Fox Den,1,200,3
0,8,9,Kathleen W Rollins Hall,Fox Den,1,200,3
0,8,10,Kathleen W Rollins Hall,Fox Den,1,200,3
0,8,11,Kathleen W Rollins Hall,Fox Den,1,200,3
0,8,12,Kathleen W Rollins Hall,Fox Den,1,200,3
0,8,13,Kathleen W Rollins Hall,Fox Den,1,200,3
0,8,14,Kathleen W Rollins Hall,Fox Den,1,200,3
0,8,15,Kathleen W Rollins Hall,Fox Den,1,200,3
0,8,16,Kathleen W Rollins Hall,Fox Den,1,200,3
0,8,17,Kathleen W Rollins Hall,Fox Den,1,200,3
0,8,18,Kathleen W Rollins Hall,Fox Den,1,200,3
0,8,19,Kathleen W Rollins Hall,Fox Den,1,200,3
0,8,20,Kathleen W Rollins Hall,Fox Den,1,200,3
0,8,8,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
0,8,9,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
0,8,10,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
0,8,11,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
0,8,12,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
0,8,13,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
0,8,14,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
0,8,15,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
0,8,16,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
0,8,17,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
0,8,18,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
0,8,19,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
0,8,20,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
0,8,10,Kathleen W Rollins Hall,Room 241 - Conference Room - Hub/SE/Acad Adv Area,1,200,241
0,8,11,Kathleen W Rollins Hall,Room 241 - Conference Room - Hub/SE/Acad Adv Area,1,200,241
0,8,11,Bush Science Center,Room 274 - Operant Lab/Seminar - Operant Lab Prior,1,100,274
0,8,12,Bush Science Center,Room 274 - Operant Lab/Seminar - Operant Lab Prior,1,100,274
0,8,12,Kathleen W Rollins Hall,Room 241 - Conference Room - Hub/SE/Acad Adv Area,1,200,241
0,8,13,Kathleen W Rollins Hall,Room 241 - Conference Room - Hub/SE/Acad Adv Area,1,200,241
0,8,14,Kathleen W Rollins Hall,Room 241 - Conference Room - Hub/SE/Acad Adv Area,1,200,241
0,8,15,Kathleen W Rollins Hall,Room 241 - Conference Room - Hub/SE/Acad Adv Area,1,200,241
0,8,16,Kathleen W Rollins Hall,Room 241 - Conference Room - Hub/SE/Acad Adv Area,1,200,241
0,8,17,Kathleen W Rollins Hall,Room 241 - Conference Room - Hub/SE/Acad Adv Area,1,200,241
0,8,14,Kathleen W Rollins Hall,Room 149 - Conference Room - Academic Adv Area,1,200,149
0,8,14,Kathleen W Rollins Hall,Room 300 - Galloway Room,1,200,300
0,8,15,Kathleen W Rollins Hall,Room 300 - Galloway Room,1,200,300
0,8,16,Kathleen W Rollins Hall,Room 300 - Galloway Room,1,200,300
0,8,17,Kathleen W Rollins Hall,Room 300 - Galloway Room,1,200,300
0,8,18,Kathleen W Rollins Hall,Room 300 - Galloway Room,1,200,300
0,8,19,Kathleen W Rollins Hall,Room 300 - Galloway Room,1,200,300
0,8,20,Kathleen W Rollins Hall,Room 300 - Galloway Room,1,200,300
0,8,21,Kathleen W Rollins Hall,Room 300 - Galloway Room,1,200,300
0,8,22,Kathleen W Rollins Hall,Room 300 - Galloway Room,1,200,300
0,8,15,Kathleen W Rollins Hall,Fountain Entrance Lobby & Gathering Stairs,1,200,2
0,8,16,Kathleen W Rollins Hall,Fountain Entrance Lobby & Gathering Stairs,1,200,2
0,8,17,Kathleen W Rollins Hall,Fountain Entrance Lobby & Gathering Stairs,1,200,2
0,8,18,Kathleen W Rollins Hall,Fountain Entrance Lobby & Gathering Stairs,1,200,2
0,8,19,Kathleen W Rollins Hall,Fountain Entrance Lobby & Gathering Stairs,1,200,2
0,8,15,Kathleen W Rollins Hall,Mills Foyer,1,200,4
0,8,16,Kathleen W Rollins Hall,Mills Foyer,1,200,4
0,8,17,Kathleen W Rollins Hall,Mills Foyer,1,200,4
0,8,18,Kathleen W Rollins Hall,Mills Foyer,1,200,4
0,8,19,Kathleen W Rollins Hall,Mills Foyer,1,200,4
0,8,15,Kathleen W Rollins Hall,Room 131 - Conference Room - CCLP Area,1,200,131
0,8,16,Kathleen W Rollins Hall,Room 131 - Conference Room - CCLP Area,1,200,131
0,8,16,Bush Science Center,Room 176 - Smart Classroom,1,100,176
0,8,16,Kathleen W Rollins Hall,Room 310 - Genius Scale-up Classroom,1,200,310
0,8,17,Bush Science Center,Bush Auditorium and Lobby,1,100,1
0,8,18,Bush Science Center,Bush Auditorium and Lobby,1,100,1
0,8,19,Bush Science Center,Bush Auditorium and Lobby,1,100,1
0,8,17,Kathleen W Rollins Hall,Room 240/240B - Social Impact Hub/Classroom,1,200,240
0,8,18,Kathleen W Rollins Hall,Room 240/240B - Social Impact Hub/Classroom,1,200,240
0,8,17,Kathleen W Rollins Hall,Room 340 - Galloway Seminar Meeting Room,1,200,340
0,8,18,Kathleen W Rollins Hall,Room 340 - Galloway Seminar Meeting Room,1,200,340
0,8,18,Kathleen W Rollins Hall,Room 128 - Screening Room,1,200,128
0,8,19,Kathleen W Rollins Hall,Room 128 - Screening Room,1,200,128
0,8,20,Kathleen W Rollins Hall,Room 128 - Screening Room,1,200,128
0,8,18,Bush Science Center,Room 210,1,100,210
0,8,19,Bush Science Center,Room 210,1,100,210
0,8,20,Bush Science Center,Room 210,1,100,210
1,8,8,Kathleen W Rollins Hall,Fox Den,1,200,3
1,8,9,Kathleen W Rollins Hall,Fox Den,1,200,3
1,8,10,Kathleen W Rollins Hall,Fox Den,1,200,3
1,8,11,Kathleen W Rollins Hall,Fox Den,1,200,3
1,8,12,Kathleen W Rollins Hall,Fox Den,1,200,3
1,8,13,Kathleen W Rollins Hall,Fox Den,1,200,3
1,8,14,Kathleen W Rollins Hall,Fox Den,1,200,3
1,8,15,Kathleen W Rollins Hall,Fox Den,1,200,3
1,8,16,Kathleen W Rollins Hall,Fox Den,1,200,3
1,8,17,Kathleen W Rollins Hall,Fox Den,1,200,3
1,8,18,Kathleen W Rollins Hall,Fox Den,1,200,3
1,8,19,Kathleen W Rollins Hall,Fox Den,1,200,3
1,8,20,Kathleen W Rollins Hall,Fox Den,1,200,3
1,8,8,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
1,8,9,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
1,8,10,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
1,8,11,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
1,8,12,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
1,8,13,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
1,8,14,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
1,8,15,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
1,8,16,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
1,8,17,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
1,8,18,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
1,8,19,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
1,8,20,Kathleen W Rollins Hall,Room 230 - Conference Room - CLCE Area,1,200,230
1,8,8,Kathleen W Rollins Hall,Room 241 - Conference Room - Hub/SE/Acad Adv Area,1,200,241
1,8,9,Kathleen W Rollins Hall,Room 241 - Conference Room - Hub/SE/Acad Adv Area,1,200,241
1,8,10,Kathleen W Rollins Hall,Room 241 - Conference Room - Hub/SE/Acad Adv Area,1,200,241
1,8,11,Kathleen W Rollins Hall,Room 241 - Conference Room - Hub/SE/Acad Adv Area,1,200,241
1,8,8,Kathleen W Rollins Hall,Room 340 - Galloway Seminar Meeting Room,1,200,340
1,8,9,Kathleen W Rollins Hall,Room 340 - Galloway Seminar Meeting Room,1,200,340
1,8,10,Kathleen W Rollins Hall,Room 340 - Galloway Seminar Meeting Room,1,200,340
1,8,11,Kathleen W Rollins Hall,Room 340 - Galloway Seminar Meeting Room,1,200,340
1,8,12,Kathleen W Rollins Hall,Room 340 - Galloway Seminar Meeting Room,1,200,340
1,8,13,Kathleen W Rollins Hall,Room 340 - Galloway Seminar Meeting Room,1,200,340
1,8,14,Kathleen W Rollins Hall,Room 340 - Galloway Seminar Meeting Room,1,200,340
1,8,8,Bush Science Center,Bush Lawn (Southside of building),1,100,3
1,8,9,Bush Science Center,Bush Lawn (Southside of building),1,100,3
1,8,10,Bush Science Center,Bush Lawn (Southside of building),1,100,3
1,8,11,Bush Science Center,Bush Lawn (Southside of building),1,100,3
1,8,12,Bush Science Center,Bush Lawn (Southside of building),1,100,3
1,8,13,Bush Science Center,Bush Lawn (Southside of building),1,100,3
1,8,14,Bush Science Center,Bush Lawn (Southside of building),1,100,3
1,8,15,Bush Science Center,Bush Lawn (Southside of building),1,100,3
1,8,8,Kathleen W Rollins Hall,Mills Lawn,1,200,5
1,8,9,Kathleen W Rollins Hall,Mills Lawn,1,200,5
1,8,10,Kathleen W Rollins Hall,Mills Lawn,1,200,5
1,8,11,Kathleen W Rollins Hall,Mills Lawn,1,200,5
1,8,12,Kathleen W Rollins Hall,Mills Lawn,1,200,5
1,8,13,Kathleen W Rollins Hall,Mills Lawn,1,200,5
1,8,14,Kathleen W Rollins Hall,Mills Lawn,1,200,5
1,8,15,Kathleen W Rollins Hall,Mills Lawn,1,200,5
1,8,8,Kathleen W Rollins Hall,Room 128 - Screening Room,1,200,128
1,8,9,Kathleen W Rollins Hall,Room 128 - Screening Room,1,200,128
1,8,10,Kathleen W Rollins Hall,Room 128 - Screening Room,1,200,128
1,8,11,Kathleen W Rollins Hall,Room 128 - Screening Room,1,200,128
1,8,12,Kathleen W Rollins Hall,Room 128 - Screening Room,1,200,128
1,8,13,Kathleen W Rollins Hall,Room 128 - Screening Room,1,200,128
1,8,14,Kathleen W Rollins Hall,Room 128 - Screening Room,1,200,128
1,8,15,Kathleen W Rollins Hall,Room 128 - Screening Room,1,200,128
1,8,16,Kathleen W Rollins Hall,Room 128 - Screening Room,1,200,128
1,8,9,Kathleen W Rollins Hall,Room 131 - Conference Room - CCLP Area,1,200,131
1,8,10,Kathleen W Rollins Hall,Room 131 - Conference Room - CCLP Area,1,200,131
1,8,10,Kathleen W Rollins Hall,Fountain Entrance Lobby & Gathering Stairs,1,200,2
